NATIONALITY,APPLICATIONS,OFFERS,ACCEPTS
Pakistan,163,0,0
Nigeria,60,0,0
Brazil,47,0,0
India,35,0,0
Turkey,32,0,0
Germany,29,0,0
Ghana,24,0,0
United States,22,0,0
Indonesia,20,0,0
China,19,0,0
Kenya,17,0,0
Ethiopia,16,0,0
Philippines,15,0,0
Bangladesh,13,0,0
"Iran, Islamic Republic of",12,0,0
Colombia,11,0,0
Georgia,11,0,0
Mexico,11,0,0
Italy,10,0,0
Lebanon,10,0,0
Malaysia,9,0,0
Viet Nam,9,0,0
Azerbaijan,8,0,0
Canada,8,0,0
Russian Federation,7,0,0
Spain,7,0,0
Ukraine,7,0,0
Zimbabwe,7,0,0
Kazakhstan,5,0,0
Nepal,5,0,0
Poland,5,0,0
South Africa,5,0,0
UNKNOWN,5,0,0
Ecuador,4,0,0
Romania,4,0,0
Sri Lanka,4,0,0
"Tanzania, United Republic of",4,0,0
Uganda,4,0,0
Kyrgyzstan,3,0,0
Netherlands,3,0,0
Peru,3,0,0
Thailand,3,0,0
Trinidad and Tobago,3,0,0
Venezuela,3,0,0
Afghanistan,2,0,0
Argentina,2,0,0
Austria,2,0,0
Egypt,2,0,0
France,2,0,0
Great Britain  (excluding Northern Ireland),2,0,0
Hungary,2,0,0
Ireland (including Northern Ireland),2,0,0
Israel,2,0,0
Malta,2,0,0
Morocco,2,0,0
Panama,2,0,0
Paraguay,2,0,0
Portugal,2,0,0
Slovakia,2,0,0
Sudan,2,0,0
Syrian Arab Republic,2,0,0
Tunisia,2,0,0
Albania,1,0,0
Algeria,1,0,0
Armenia,1,0,0
Bolivia,1,0,0
Bosnia and Herzegovina,1,0,0
Burundi,1,0,0
Cameroon,1,0,0
Chile,1,0,0
Costa Rica,1,0,0
Croatia,1,0,0
Czech Republic,1,0,0
Estonia,1,0,0
Gambia,1,0,0
Guatemala,1,0,0
Iceland,1,0,0
Japan,1,0,0
Jordan,1,0,0
Lao People's Democratic Republic,1,0,0
"Macedonia, The Former Yugoslav Republic of",1,0,0
Madagascar,1,0,0
Malawi,1,0,0
Mauritius,1,0,0
Myanmar,1,0,0
Namibia,1,0,0
Nicaragua,1,0,0
"Palestinian Territory, Occupied",1,0,0
Rwanda,1,0,0
Slovenia,1,0,0
Somalia,1,0,0
"Taiwan, Province of China",1,0,0
Yemen,1,0,0
